WITH REDUCED BATCH SIZE 


2024/08/09 22:49:26.069, 4 MiB, 81920 MiB
2024/08/09 22:49:34.765, 4 MiB, 81920 MiB
2024/08/09 22:49:42.875, 4 MiB, 81920 MiB
2024/08/09 22:49:45.700, 4 MiB, 81920 MiB
2024/08/09 22:49:53.286, 4 MiB, 81920 MiB
2024/08/09 22:50:02.479, 4 MiB, 81920 MiB
2024/08/09 22:50:05.325, 4 MiB, 81920 MiB
2024/08/09 22:50:11.808, 4 MiB, 81920 MiB
2024/08/09 22:50:21.218, 4 MiB, 81920 MiB
2024/08/09 22:50:24.702, 4 MiB, 81920 MiB
2024/08/09 22:50:27.169, 4 MiB, 81920 MiB
2024/08/09 22:50:38.831, 4 MiB, 81920 MiB
2024/08/09 22:50:43.291, 4 MiB, 81920 MiB
2024/08/09 22:50:48.156, 4 MiB, 81920 MiB
2024/08/09 22:50:57.941, 4 MiB, 81920 MiB
2024/08/09 22:51:07.422, 4 MiB, 81920 MiB
2024/08/09 22:51:09.227, 4 MiB, 81920 MiB
2024/08/09 22:51:10.746, 4 MiB, 81920 MiB
2024/08/09 22:51:17.110, 4 MiB, 81920 MiB
2024/08/09 22:51:27.565, 4 MiB, 81920 MiB
2024/08/09 22:51:31.056, 4 MiB, 81920 MiB
2024/08/09 22:51:33.698, 4 MiB, 81920 MiB
2024/08/09 22:51:39.836, 4 MiB, 81920 MiB
2024/08/09 22:51:50.960, 4 MiB, 81920 MiB
2024/08/09 22:51:54.552, 4 MiB, 81920 MiB
2024/08/09 22:51:59.161, 4 MiB, 81920 MiB
2024/08/09 22:52:07.100, 4 MiB, 81920 MiB
2024/08/09 22:52:16.089, 4 MiB, 81920 MiB
2024/08/09 22:52:18.816, 4 MiB, 81920 MiB
2024/08/09 22:52:23.634, 4 MiB, 81920 MiB
2024/08/09 22:52:31.511, 4 MiB, 81920 MiB
2024/08/09 22:52:37.266, 4 MiB, 81920 MiB
2024/08/09 22:52:38.679, 4 MiB, 81920 MiB
2024/08/09 22:52:42.212, 4 MiB, 81920 MiB
2024/08/09 22:52:52.689, 4 MiB, 81920 MiB
