://github.com/corent1234/hairy-ball-theorem-lean
2024-09-18 07:08:25.524 | DEBUG    | lean_dojo.data_extraction.traced_data:check_sanity:1010 - Checking the sanity of TracedRepo(repo=LeanGitRepo(url='https://github.com/corent1234/hairy-ball-theorem-lean', commit='a778826d19c8a7ddf1d26beeea628c45450612e6'), dependencies={'lean4': LeanGitRepo(url='https://github.com/leanprover/lean4', commit='e9e858a4484905a0bfe97c4f05c3924ead02eed8'), 'std': LeanGitRepo(url='https://github.com/leanprover/std4', commit='32983874c1b897d78f20d620fe92fc8fd3f06c3a'), 'Qq': LeanGitRepo(url='https://github.com/leanprover-community/quote4', commit='2c8ae451ce9ffc83554322b14437159c1a9703f9'), 'aesop': LeanGitRepo(url='https://github.com/leanprover-community/aesop', commit='2c39748d927749624f480b641f1d2d77b8632b92'), 'proofwidgets': LeanGitRepo(url='https://github.com/leanprover-community/ProofWidgets4', commit='eb08eee94098fe530ccd6d8751a86fe405473d4c'), 'Cli': LeanGitRepo(url='https://github.com/leanprover/lean4-cli', commit='2cf1030dc2ae6b3632c84a09350b675ef3e347d0'), 'mathlib': LeanGitRepo(url='https://github.com/leanprover-community/mathlib4', commit='48d8b1d577f2740caaa44f336ec63987c41a23df'), 'batteries': LeanGitRepo(url='https://github.com/leanprover-community/batteries', commit='46fed98b5cac2b1ea64e363b420c382ed1af0d85'), 'importGraph': LeanGitRepo(url='https://github.com/leanprover-community/import-graph', commit='fb7841a6f4fb389ec0e47dd4677844d49906af3c'), 'LeanSearchClient': LeanGitRepo(url='https://github.com/leanprover-community/LeanSearchClient', commit='3e9460c40e09457b2fd079ef55316535536425fc')}, root_dir=PosixPath('/workspace/.cache/lean_dojo/corent1234-hairy-ball-theorem-lean-a778826d19c8a7ddf1d26beeea628c45450612e6/hairy-ball-theorem-lean'))
2024-09-18 07:08:55.004 | INFO     | generate_benchmark_lean4:main:396 - Successfully traced the repo
2024-09-18 07:08:55.006 | WARNING  | generate_benchmark_lean4:safe_remove_dir:281 - /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6 already exists. Removing it now.
2024-09-18 07:08:58.213 | INFO     | generate_benchmark_lean4:split_data:133 - 71871 theorems in total
2024-09-18 07:08:58.214 | INFO     | generate_benchmark_lean4:split_data:138 - 71871 theorems in total, with 1437 for validation and 1437 for testing
2024-09-18 07:08:58.214 | INFO     | generate_benchmark_lean4:split_randomly:81 - Splitting the theorems randomly
2024-09-18 07:08:58.226 | INFO     | generate_benchmark_lean4:split_by_premise:95 - Splitting the theorems by premises
2024-09-18 07:09:00.719 | INFO     | generate_benchmark_lean4:main:402 - Successfully split the data
2024-09-18 07:09:08.829 | INFO     | generate_benchmark_lean4:export_proofs:202 - 68997 theorems and 108736 tactics saved to /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6/random/train.json
2024-09-18 07:09:09.130 | INFO     | generate_benchmark_lean4:export_proofs:202 - 1437 theorems and 2101 tactics saved to /workspace/datasets_PT_single_repo_no_ewc_curriculum_sorries/hairy-ball-theorem-lean_a778826d19c8a7ddf1d26beeea628c45450612e6/random/val.json
